epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,85.049,1.03562,0.97842,1.28435,0.63027,0.54312,0.58516,0.38643,1.44275,1.56371,1.83091,0.00113898,0.00113898,0.00113898
43,87.085,1.04268,0.97793,1.28892,0.77077,0.48839,0.67406,0.43357,1.29154,1.28509,1.63617,0.00113191,0.00113191,0.00113191
44,89.0548,1.00409,0.93862,1.2851,0.64155,0.68432,0.72559,0.49734,1.2371,1.27497,1.54725,0.00112484,0.00112484,0.00112484
45,91.0838,1.00857,0.90311,1.25723,0.69971,0.68318,0.73528,0.48742,1.20574,1.19606,1.56655,0.00111776,0.00111776,0.00111776
46,93.0938,0.97414,0.9031,1.24164,0.6921,0.62284,0.65978,0.44523,1.264,1.26116,1.63723,0.00111069,0.00111069,0.00111069
47,95.0767,0.99623,0.94657,1.24445,0.72778,0.65452,0.73297,0.44382,1.38908,1.16822,1.70022,0.00110362,0.00110362,0.00110362
48,97.0782,0.99771,0.9571,1.26555,0.79479,0.59131,0.72093,0.48176,1.28366,1.17271,1.65043,0.00109654,0.00109654,0.00109654
49,99.079,0.99578,0.93931,1.25709,0.74779,0.67595,0.75892,0.47812,1.26534,1.20271,1.56938,0.00108947,0.00108947,0.00108947
50,101.098,0.97215,0.89731,1.22581,0.62699,0.689,0.65391,0.39684,1.44512,1.27112,1.84794,0.0010824,0.0010824,0.0010824
51,103.096,0.94841,0.8534,1.24388,0.71515,0.62702,0.66191,0.45754,1.272,1.263,1.65043,0.00107532,0.00107532,0.00107532
52,105.08,0.98325,0.89098,1.24133,0.63316,0.65803,0.7327,0.51475,1.20625,1.12407,1.5662,0.00106825,0.00106825,0.00106825
53,107.057,0.89973,0.8275,1.21329,0.61536,0.69207,0.71685,0.48539,1.28204,1.24299,1.63573,0.00106118,0.00106118,0.00106118
54,109.047,0.96967,0.87961,1.23219,0.79758,0.71277,0.72878,0.48578,1.29684,1.0381,1.65805,0.0010541,0.0010541,0.0010541
55,111.011,0.88903,0.81599,1.19403,0.81378,0.68679,0.74552,0.49097,1.30781,1.06526,1.67865,0.00104703,0.00104703,0.00104703
56,112.996,0.95596,0.86391,1.24107,0.66889,0.76313,0.7699,0.49764,1.22403,1.14665,1.5855,0.00103995,0.00103995,0.00103995
57,115.003,0.92855,0.84154,1.20653,0.78222,0.70462,0.77169,0.51429,1.2372,0.98862,1.62454,0.00103288,0.00103288,0.00103288
58,117.023,0.92999,0.83797,1.20836,0.84955,0.67724,0.77262,0.48534,1.29804,1.17814,1.65364,0.00102581,0.00102581,0.00102581
59,119.029,0.89536,0.79729,1.1862,0.7697,0.71033,0.76292,0.49684,1.24171,1.13826,1.57402,0.00101873,0.00101873,0.00101873
60,121.057,0.9428,0.84282,1.2229,0.80408,0.74089,0.7897,0.52473,1.22121,1.00038,1.59154,0.00101166,0.00101166,0.00101166
61,123.056,0.93966,0.82421,1.24275,0.7611,0.63202,0.69354,0.48079,1.24022,1.25823,1.64737,0.00100459,0.00100459,0.00100459
62,125.355,0.91933,0.81606,1.19186,0.79702,0.62404,0.72784,0.48485,1.24434,1.14968,1.64975,0.000997513,0.000997513,0.000997513
63,127.408,0.91185,0.81179,1.20078,0.70502,0.71264,0.74839,0.50465,1.28038,1.10554,1.64319,0.00099044,0.00099044,0.00099044
64,129.569,0.88132,0.773,1.17862,0.77927,0.61422,0.70802,0.4652,1.28572,1.23824,1.67595,0.000983366,0.000983366,0.000983366
65,132.22,0.86683,0.75403,1.17976,0.7473,0.64162,0.73668,0.47352,1.29719,1.22769,1.6439,0.000976293,0.000976293,0.000976293
66,135.724,0.85758,0.73729,1.16704,0.83049,0.74699,0.77708,0.50766,1.27416,1.06846,1.63302,0.000969219,0.000969219,0.000969219
67,139.248,0.93201,0.78297,1.20573,0.79989,0.74008,0.79265,0.55258,1.19021,0.94993,1.56208,0.000962146,0.000962146,0.000962146
68,142.966,0.8993,0.80136,1.20396,0.76866,0.78018,0.83184,0.55357,1.20631,1.01579,1.53272,0.000955072,0.000955072,0.000955072
69,146.994,0.87775,0.76726,1.1964,0.74131,0.72705,0.76386,0.48023,1.32177,1.04905,1.66511,0.000947999,0.000947999,0.000947999
70,151.027,0.86773,0.7522,1.1903,0.77839,0.55899,0.67749,0.46093,1.28806,1.18666,1.68296,0.000940925,0.000940925,0.000940925
71,154.749,0.86682,0.76546,1.16114,0.71296,0.76283,0.77671,0.48904,1.29683,1.05794,1.65899,0.000933851,0.000933851,0.000933851
72,158.284,0.85851,0.73094,1.17168,0.80598,0.75951,0.82057,0.57892,1.08109,0.94789,1.44066,0.000926778,0.000926778,0.000926778
73,161.816,0.83075,0.7441,1.16215,0.78059,0.70596,0.77063,0.52412,1.13243,1.09163,1.48698,0.000919704,0.000919704,0.000919704
74,165.299,0.82156,0.69647,1.15105,0.76527,0.67697,0.77959,0.54689,1.13045,0.99861,1.49963,0.000912631,0.000912631,0.000912631
75,168.497,0.85701,0.7449,1.17538,0.76591,0.78889,0.79511,0.51718,1.18764,0.98912,1.53547,0.000905557,0.000905557,0.000905557
76,170.592,0.83564,0.74365,1.16264,0.84707,0.72693,0.80832,0.54957,1.15109,0.99822,1.49414,0.000898484,0.000898484,0.000898484
77,172.548,0.85046,0.74594,1.17056,0.74966,0.68488,0.76569,0.53094,1.06406,0.9958,1.41598,0.00089141,0.00089141,0.00089141
78,174.542,0.83074,0.70392,1.17391,0.79154,0.70835,0.78746,0.52394,1.15815,1.00168,1.53766,0.000884337,0.000884337,0.000884337
79,176.497,0.82141,0.69345,1.14233,0.81886,0.73612,0.79459,0.53241,1.2485,1.04848,1.65589,0.000877263,0.000877263,0.000877263
80,178.484,0.81964,0.69777,1.152,0.76564,0.76098,0.78589,0.51198,1.20849,1.04212,1.55558,0.00087019,0.00087019,0.00087019
