epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,128.439,1.15387,1.09785,1.40748,0.7978,0.81944,0.81843,0.46935,1.59915,1.2029,2.074,0.00191014,0.00191014,0.00191014
43,131.836,1.20207,1.12279,1.42745,0.78685,0.73611,0.80251,0.48062,1.4514,1.26039,1.84914,0.00190578,0.00190578,0.00190578
44,135.491,1.1376,1.1429,1.3883,0.74623,0.68056,0.76272,0.44234,1.46507,1.50736,1.91799,0.00190132,0.00190132,0.00190132
45,138.877,1.08372,1.00238,1.35086,0.85238,0.75,0.84014,0.45917,1.59837,1.37522,2.01057,0.00189675,0.00189675,0.00189675
46,142.268,1.11456,0.99967,1.36704,0.88177,0.86111,0.8675,0.56173,1.34799,1.18488,1.78364,0.0018921,0.0018921,0.0018921
47,145.634,1.15127,1.0201,1.36314,0.8032,0.79362,0.80481,0.48487,1.49078,1.30994,1.92791,0.00188734,0.00188734,0.00188734
48,149.071,1.11149,1.03057,1.35652,0.87784,0.66667,0.7972,0.47883,1.49344,1.52557,1.9123,0.00188249,0.00188249,0.00188249
49,152.406,1.1278,1.02982,1.37411,0.89346,0.75,0.8406,0.47387,1.60304,1.41319,2.10705,0.00187754,0.00187754,0.00187754
50,155.77,1.14833,1.07011,1.36845,0.66938,0.81549,0.77063,0.43751,1.42511,1.53514,1.86548,0.0018725,0.0018725,0.0018725
51,159.14,1.12347,1.06209,1.38518,0.72147,0.80556,0.79247,0.46015,1.40801,1.44367,1.86867,0.00186737,0.00186737,0.00186737
52,162.51,1.05449,0.9887,1.33306,0.79991,0.77736,0.85375,0.50232,1.35603,1.22144,1.80837,0.00186213,0.00186213,0.00186213
53,165.979,1.1084,1.03785,1.38264,0.86908,0.75,0.85506,0.49402,1.46924,1.29431,1.92955,0.00185681,0.00185681,0.00185681
54,169.355,1.06516,0.98796,1.34597,0.89939,0.70833,0.83403,0.5233,1.32774,1.26218,1.75953,0.00185139,0.00185139,0.00185139
55,172.732,1.04693,0.983,1.30708,0.80369,0.81944,0.80961,0.46714,1.44567,1.24415,1.8694,0.00184588,0.00184588,0.00184588
56,176.125,1.1338,1.04163,1.36741,0.81597,0.73611,0.79487,0.50595,1.38279,1.34541,1.82728,0.00184028,0.00184028,0.00184028
57,179.57,1.04876,1.01508,1.29616,0.73598,0.80556,0.83358,0.51388,1.38967,1.17793,1.86172,0.00183459,0.00183459,0.00183459
58,182.949,1.05261,0.94791,1.32174,0.79165,0.51389,0.68712,0.35613,1.61112,1.53253,2.17093,0.00182881,0.00182881,0.00182881
59,186.33,1.05615,0.9522,1.30834,0.79024,0.70833,0.79042,0.5232,1.27688,1.33902,1.72743,0.00182294,0.00182294,0.00182294
60,189.711,1.0757,1.03605,1.3572,0.87121,0.75162,0.86655,0.48838,1.49467,1.31683,1.90758,0.00181698,0.00181698,0.00181698
61,193.098,1.09596,0.98681,1.36345,0.76099,0.79602,0.84113,0.52708,1.39503,1.16951,1.80466,0.00181093,0.00181093,0.00181093
62,196.559,1.04775,0.9148,1.26783,0.81324,0.77778,0.84498,0.50606,1.41822,1.12907,1.87905,0.00180479,0.00180479,0.00180479
63,199.933,1.01491,0.9201,1.30475,0.80414,0.84722,0.87293,0.54435,1.40959,1.11871,1.86327,0.00179856,0.00179856,0.00179856
64,203.322,0.99903,0.90306,1.28993,0.73573,0.83333,0.82912,0.43083,1.62509,1.34027,2.11143,0.00179225,0.00179225,0.00179225
65,206.662,1.03455,0.94603,1.31343,0.89678,0.81944,0.8916,0.55046,1.43619,1.04005,1.9683,0.00178586,0.00178586,0.00178586
66,210.296,1.05173,0.9215,1.33029,0.82906,0.79167,0.84552,0.5359,1.30738,1.28367,1.76708,0.00177937,0.00177937,0.00177937
67,213.678,1.00647,0.89433,1.30995,0.80359,0.79559,0.86241,0.50603,1.41521,1.14605,1.8597,0.00177281,0.00177281,0.00177281
68,217.063,1.03848,0.96472,1.30058,0.75451,0.72572,0.80796,0.52609,1.31226,1.1466,1.78765,0.00176616,0.00176616,0.00176616
69,220.423,1.055,0.94608,1.34922,0.91091,0.81944,0.90403,0.51308,1.50017,1.18357,1.94069,0.00175943,0.00175943,0.00175943
70,223.812,0.97269,0.83498,1.25453,0.7802,0.75,0.82848,0.54016,1.29808,1.30387,1.7485,0.00175261,0.00175261,0.00175261
71,227.303,1.0195,0.88637,1.29269,0.8538,0.81112,0.86513,0.53732,1.30984,1.23032,1.76868,0.00174571,0.00174571,0.00174571
